persona_id,name_en,name_zh,journey,brand,persona_type,jtbd_zh,jtbd_en,asset_id,asset_status,asset_web_path,asset_thumb_path
HD-S1,Urban Self-treat Consumer,都市自我犒赏型消费者,Customer,Häagen-Dazs,brand_persona,在压力、下班、周末或情绪时刻获得高品质的小奖励,"Enjoy a high-quality personal reward after work, on weekends or during emotional moments.",M2,approved,images/customer_personas/web_4x5/M2.webp,images/customer_personas/thumb_square/M2.webp
HD-S2,Couple / Date Consumer,情侣 / 约会型消费者,Customer,Häagen-Dazs,brand_persona,为约会、纪念日和共享时刻增加轻仪式感,"Add a sense of occasion to dates, anniversaries and shared moments.",H2,approved,images/customer_personas/web_4x5/H2.webp,images/customer_personas/thumb_square/H2.webp
HD-S3,Gifting / Festival Buyer,礼赠 / 节庆购买者,Customer,Häagen-Dazs,brand_persona,选择体面、不出错、有情绪价值的礼物,"Choose a presentable, safe and emotionally meaningful gift.",M3,approved,images/customer_personas/web_4x5/M3.webp,images/customer_personas/thumb_square/M3.webp
HD-S4,Home Dessert Family User,居家甜品家庭分享者,Customer,Häagen-Dazs,brand_persona,把高品质甜品带入家庭分享时刻,Bring a premium dessert into family-sharing moments at home.,H4,approved_regenerated,images/customer_personas/web_4x5/H4.webp,images/customer_personas/thumb_square/H4.webp
HD-S5,Retail / Foodservice Buyer,零售 / 餐饮渠道客户,Customer,Häagen-Dazs,channel_persona,优化产品组合、动销、毛利、周转和渠道适配,"Optimize assortment, sell-through, margin, turnover and channel fit.",M6,approved,images/customer_personas/web_4x5/M6.webp,images/customer_personas/thumb_square/M6.webp
WF-S1,Family Dinner Decision Maker,家庭晚餐决策者,Customer,Wanchai Ferry,brand_persona,快速、安心地解决家人愿意吃的一顿晚餐,"Put a quick, trusted dinner on the table that the family will accept.",M1,approved,images/customer_personas/web_4x5/M1.webp,images/customer_personas/thumb_square/M1.webp
WF-S2,Young Solo / Small Household,年轻独居 / 小家庭,Customer,Wanchai Ferry,brand_persona,不做复杂烹饪，也不想用低质量外卖将就,Avoid complex cooking without settling for low-quality takeaway.,M4,temporary_approved,images/customer_personas/web_4x5/M4.webp,images/customer_personas/thumb_square/M4.webp
WF-S3,Families with Children,有儿童的家庭,Customer,Wanchai Ferry,brand_persona,选择孩子愿意吃、家长也放心的快手餐,Choose a fast meal children enjoy and parents can trust.,W3,approved,images/customer_personas/web_4x5/W3.webp,images/customer_personas/thumb_square/W3.webp
WF-S4,Seasonal Reunion Buyer,节令团圆购买者,Customer,Wanchai Ferry,brand_persona,在冬至、春节、元宵等节点兼顾传统、便利与团圆感,"Balance tradition, convenience and togetherness during seasonal occasions.",M3,approved,images/customer_personas/web_4x5/M3.webp,images/customer_personas/thumb_square/M3.webp
WF-S5,Quality–Price Balance User,品质与性价比平衡型用户,Customer,Wanchai Ferry,brand_persona,在品质、安全、份量与价格之间找到“值得”,"Find the right balance of quality, safety, portion and price.",W5,approved_with_note,images/customer_personas/web_4x5/W5.webp,images/customer_personas/thumb_square/W5.webp
WF-S6,Channel Customer,渠道客户,Customer,Wanchai Ferry,channel_persona,优化货架、冷柜、补货、周转、毛利与执行一致性,"Optimize shelf, freezer, replenishment, turnover, margin and execution consistency.",M6,approved,images/customer_personas/web_4x5/M6.webp,images/customer_personas/thumb_square/M6.webp
M1,Family Meal Decision Maker,家庭餐桌决策者,Customer,General Mills / Wanchai Ferry,shared_archetype,在时间、营养与家庭接受度之间完成日常餐食决策,"Balance time, nutrition and family acceptance in everyday meal decisions.",M1,approved,images/customer_personas/web_4x5/M1.webp,images/customer_personas/thumb_square/M1.webp
M2,Urban Self-treat Consumer,都市自我犒赏型消费者,Customer,General Mills / Häagen-Dazs,shared_archetype,用高品质产品获得即时情绪奖励,Use a premium product as an immediate emotional reward.,M2,approved,images/customer_personas/web_4x5/M2.webp,images/customer_personas/thumb_square/M2.webp
M3,Gifting & Seasonal Buyer,礼赠与节令购买者,Customer,General Mills / Both,shared_archetype,在节日、关系与团聚时刻选择合适产品,"Choose the right product for festivals, relationships and reunion moments.",M3,approved,images/customer_personas/web_4x5/M3.webp,images/customer_personas/thumb_square/M3.webp
M4,Young Solo / Small Household,年轻独居与小家庭,Customer,General Mills / Wanchai Ferry,shared_archetype,用更少准备获得不将就的便利体验,Get a convenient but non-compromised experience with minimal preparation.,M4,temporary_approved,images/customer_personas/web_4x5/M4.webp,images/customer_personas/thumb_square/M4.webp
M5,Ingredient / Health-conscious Consumer,成分与健康关注者,Customer,General Mills / Both,shared_archetype,看懂配料、营养与健康价值后再做选择,"Understand ingredients, nutrition and health value before choosing.",M5,approved_regenerated,images/customer_personas/web_4x5/M5.webp,images/customer_personas/thumb_square/M5.webp
M6,Channel / Business Customer,渠道与 B2B 客户,Customer,General Mills / Both,shared_archetype,用数据优化组合、库存、毛利与渠道执行,"Use data to optimize assortment, inventory, margin and channel execution.",M6,approved,images/customer_personas/web_4x5/M6.webp,images/customer_personas/thumb_square/M6.webp
