persona_id,name_en,name_zh,journey,brand,persona_type,jtbd_en,jtbd_zh,asset_id,asset_status,asset_web_path,asset_thumb_path
EP1,General Management / Business Sponsor,管理层 / 业务发起人,Employee,General Mills,employee_role,"Define business priorities, sponsor decisions and unlock resources.",明确业务优先级、推动决策并协调资源,EP1,placeholder_ready,images/employee_role_placeholders/EP1.png,images/employee_role_placeholders/EP1.png
EP2,Consumer Insight Manager,消费者洞察经理,Employee,General Mills,employee_role,Turn fragmented consumer and market signals into actionable insight.,将分散的消费者与市场信号转化为可行动洞察,EP2,placeholder_ready,images/employee_role_placeholders/EP2.png,images/employee_role_placeholders/EP2.png
EP3,Brand / Marketing Manager,品牌 / 市场经理,Employee,General Mills,employee_role,"Plan brand growth, campaigns, audiences and investment choices.",规划品牌增长、活动、受众与投资选择,EP3,placeholder_ready,images/employee_role_placeholders/EP3.png,images/employee_role_placeholders/EP3.png
EP4,Product Innovation / R&D Manager,产品创新 / 研发经理,Employee,General Mills,employee_role,"Translate insight into product, flavor, formula and packaging innovation.",把洞察转化为产品、口味、配方与包装创新,EP4,placeholder_ready,images/employee_role_placeholders/EP4.png,images/employee_role_placeholders/EP4.png
EP5,E-commerce / CRM / Content Manager,电商 / CRM / 内容运营经理,Employee,General Mills,employee_role,"Operate digital touchpoints, content, CRM and conversion journeys.",运营数字触点、内容、CRM 与转化旅程,EP5,placeholder_ready,images/employee_role_placeholders/EP5.png,images/employee_role_placeholders/EP5.png
EP6,Sales / KA / Trade / Merchandising Manager,销售 / 大客户 / 渠道 / 店头执行经理,Employee,General Mills,employee_role,"Drive customer plans, assortment, promotion and retail execution.",推动客户计划、商品组合、促销与店头执行,EP6,placeholder_ready,images/employee_role_placeholders/EP6.png,images/employee_role_placeholders/EP6.png
EP7,Demand / Supply / Procurement Planner,需求 / 供应 / 采购计划人员,Employee,General Mills,employee_role,"Balance demand, supply, materials, inventory and procurement.",平衡需求、供应、原料、库存与采购,EP7,placeholder_ready,images/employee_role_placeholders/EP7.png,images/employee_role_placeholders/EP7.png
EP8,Manufacturing / Quality / Logistics Manager,制造 / 质量 / 物流经理,Employee,General Mills,employee_role,"Deliver stable production, quality, logistics and operational reliability.",保障生产、质量、物流与运营稳定性,EP8,placeholder_ready,images/employee_role_placeholders/EP8.png,images/employee_role_placeholders/EP8.png
EP9,Customer Service / Customer Operations,客服 / 客户运营团队,Employee,General Mills,employee_role,"Resolve consumer questions, complaints and service issues efficiently.",高效解决消费者咨询、投诉与服务问题,EP9,placeholder_ready,images/employee_role_placeholders/EP9.png,images/employee_role_placeholders/EP9.png
EP10,Legal / Compliance / Finance / Internal Control,法务 / 合规 / 财务 / 内控团队,Employee,General Mills,employee_role,"Protect brand, regulatory, financial and operating controls.",保障品牌、法规、财务与经营控制,EP10,placeholder_ready,images/employee_role_placeholders/EP10.png,images/employee_role_placeholders/EP10.png
EP11,AI / Data / IT Product Lead / PMO,AI / 数据 / IT 产品负责人 / PMO,Employee,General Mills,employee_role,"Build reusable data, AI, agent and governance capabilities.",建设可复用的数据、AI、Agent 与治理能力,EP11,placeholder_ready,images/employee_role_placeholders/EP11.png,images/employee_role_placeholders/EP11.png
